Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Escuela Infantil Betaria,Instalaciones accesibles NO municipales,Calle Padre Rubio 14,Bicipark Montalban,"Calle de Montalbán, 5",5818.58
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5818.93
Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2),Instalaciones accesibles NO municipales,Calle Primitiva Gañan 6,Bicipark Almagro,"Calle Almagro, 11",5821.37
Oficina de Correos. Sucursal 57. Plaza Movimiento Ciudadano,Instalaciones accesibles NO municipales,Plaza Movimiento Ciudadano 1,Bicipark Recoletos,"Paseo de Recoletos, 2",5824.31
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5827.94
Colegio Tajamar,Instalaciones accesibles NO municipales,Calle Pio Felipe 12,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5830.07
Oficina de Correos. Sucursal 77. Calle Eduardo Barreiros,Instalaciones accesibles NO municipales,Calle Eduardo Barreiros 3 Y 5,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5831.97
Instituto de Educación Secundaria (IES) San Fernando,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo Km.13500,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5836.87
Oficina de Empleo Águeda Díez,Instalaciones accesibles NO municipales,Plaza Agueda Diez 4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5839.79
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,Bicipark Recoletos,"Paseo de Recoletos, 2",5842.75
Museo Postal y Telegráfico,Instalaciones accesibles NO municipales,Calle Tapia De Casariego 6,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5842.95
Escuela Infantil Conde de Elda,Instalaciones accesibles NO municipales,Calle Ponferrada 16,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5851.22
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,Bicipark Recuerdo,"Calle Hiedra, 26",5855.12
Instituto de Educación Secundaria (IES) Príncipe Felipe,Instalaciones accesibles NO municipales,Calle Finisterre 60,Bicipark Almagro,"Calle Almagro, 11",5863.14
Oficina de Correos. Sucursal 20. Calle Alcalde López Casero,Instalaciones accesibles NO municipales,Calle Alcalde Lopez Casero 3,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5863.43
Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,Bicipark Orense,"Avenida General Perón, 27",5864.65
Estación ferroviaria Madrid - Chamartín - Clara Campoamor,Instalaciones accesibles NO municipales,Calle Agustin De Foxa,Bicipark Recoletos,"Paseo de Recoletos, 2",5865.34
Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Instalaciones accesibles NO municipales,Calle Via Limite 14,Bicipark Recoletos,"Paseo de Recoletos, 2",5870.22
Centro de día Argüelles,Instalaciones accesibles NO municipales,Calle Andres Mellado 31,Bicipark Recuerdo,"Calle Hiedra, 26",5871.64
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5880.09
Servicio de Documentación y Biblioteca de la Asamblea de Madrid,Instalaciones accesibles NO municipales,Plaza Asamblea De Madrid 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5880.85
Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5883.53
Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 34,Bicipark Montalban,"Calle de Montalbán, 5",5885.39
Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,Bicipark Salamanca,Pl. del Marqués de Salamanca,5886.44
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,Bicipark Almagro,"Calle Almagro, 11",5887.11
Instalación Deportiva San Vicente de Paúl,Instalaciones accesibles NO municipales,Calle Pelicano 4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5887.25
Oficina de Correos. Sucursal 44. Calle Padre Rubio,Instalaciones accesibles NO municipales,Calle Padre Rubio 43,Bicipark Montalban,"Calle de Montalbán, 5",5887.9
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,Bicipark Orense,"Avenida General Perón, 27",5898.62
Oficina de Correos. Sucursal 40. Calle Tellez,Instalaciones accesibles NO municipales,Calle Tellez 27,Bicipark Orense,"Avenida General Perón, 27",5902.71
Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,Bicipark Recoletos,"Paseo de Recoletos, 2",5903.35
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),Instalaciones accesibles NO municipales,Calle Javier Del Quinto,Bicipark Salamanca,Pl. del Marqués de Salamanca,5911.88
Residencia de Estudiantes Ciudad Escolar. Comunidad de Madrid.,Instalaciones accesibles NO municipales,"Carretera Colmenar Viejo  Km. 12,800",Bicipark Recuerdo,"Calle Hiedra, 26",5913.74
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,Bicipark Recuerdo,"Calle Hiedra, 26",5914.48
Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,Bicipark Montalban,"Calle de Montalbán, 5",5922.56
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,Bicipark Orense,"Avenida General Perón, 27",5922.65
Residencia para mayores y centro de día Peñuelas,Instalaciones accesibles NO municipales,Calle Arganda 11,Bicipark Orense,"Avenida General Perón, 27",5925.53
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5925.66
Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5934.11
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,Bicipark Salamanca,Pl. del Marqués de Salamanca,5935.11
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5938.12
Oficina de Correos. Sucursal 72. Calle Santiago Alio,Instalaciones accesibles NO municipales,Calle Santiago Alio 10 A,Bicipark Salamanca,Pl. del Marqués de Salamanca,5948.06
"Centro de día, centro ocupacional y residencia APADEMA",Instalaciones accesibles NO municipales,Calle Moralzarzal 73,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5948.7
Instituto de Educación Secundaria (IES) Renacimiento,Instalaciones accesibles NO municipales,Calle Castellflorite 4,Bicipark Recoletos,"Paseo de Recoletos, 2",5950.94
Colegio Público Martínez Montañés,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 223,Bicipark Salamanca,Pl. del Marqués de Salamanca,5957.02
Colegio Público Ciudad de Jaén,Instalaciones accesibles NO municipales,Calle Madre Rosa Blanco 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5961.79
Instalación deportiva para mayores Concepción Arenal,Instalaciones accesibles NO municipales,Calle Javier Del Quinto 12 Está Ubicado Dentro Del Centro De Servicios Sociales “Concepción Arenal”,Bicipark Orense,"Avenida General Perón, 27",5962.52
Colegio Mayor Alcor,Instalaciones accesibles NO municipales,Calle General Ampudia 7,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5964.3
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 7 Carabanchel,Instalaciones accesibles NO municipales,Avenida Pedro Diez 19,Bicipark Aviación,Parking Aviación Española,5970.14
Colegio Público Virgen del Cerro,Instalaciones accesibles NO municipales,Calle Mohernando 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5970.15
Instituto de Educación Secundaria (IES) Renacimiento,Instalaciones accesibles NO municipales,Calle Castellflorite 4,Bicipark Montalban,"Calle de Montalbán, 5",5976.48
Norte Joven Fuencarral,Instalaciones accesibles NO municipales,Calle Ribadavia 20,Bicipark Recoletos,"Paseo de Recoletos, 2",5977.42
Oficina de Empleo Barrio del Pilar,Instalaciones accesibles NO municipales,Camino Ganapanes 33,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5983.76
Oficina de Correos. Sucursal 72. Calle Santiago Alio,Instalaciones accesibles NO municipales,Calle Santiago Alio 10 A,Bicipark Montalban,"Calle de Montalbán, 5",5984.89
Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,Bicipark Salamanca,Pl. del Marqués de Salamanca,5990.79
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5991.06
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,Bicipark Recuerdo,"Calle Hiedra, 26",5994.53
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5997.41
Biblioteca Pública Elena Fortún (Retiro),Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 189,Bicipark Orense,"Avenida General Perón, 27",5998.4
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),Instalaciones accesibles NO municipales,Calle Javier Del Quinto,Bicipark Orense,"Avenida General Perón, 27",6004.88
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,Bicipark Montalban,"Calle de Montalbán, 5",6016.26
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6017.46
Oficina de Correos. Sucursal 37. Calle Marqués de Corbera,Instalaciones accesibles NO municipales,Avenida Marques De Corbera 27,Bicipark Recuerdo,"Calle Hiedra, 26",6018.63
Numen centro de atención integral,Instalaciones accesibles NO municipales,Calle Tabatinga 11 Planta Baja,Bicipark Recuerdo,"Calle Hiedra, 26",6022.03
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,Bicipark Montalban,"Calle de Montalbán, 5",6027.05
Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6027.94
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,Bicipark Recuerdo,"Calle Hiedra, 26",6032.62
Intercambiador de transporte. Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 40,Bicipark Montalban,"Calle de Montalbán, 5",6036.52
Oficina de Empleo Barrio del Pilar,Instalaciones accesibles NO municipales,Camino Ganapanes 33,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6044.19
Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,Bicipark Salamanca,Pl. del Marqués de Salamanca,6048.14
Instituto de Educación Secundaria (IES) Ciudad de Jaén,Instalaciones accesibles NO municipales,Camino Rio 5,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6049.32
Oficina de Correos. Sucursal 47. Calle Mar Caspio,Instalaciones accesibles NO municipales,Calle Mar Caspio 10,Bicipark Orense,"Avenida General Perón, 27",6050.05
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,6053.97
Tanatorio Parque de San Isidro de Madrid,Instalaciones accesibles NO municipales,Calle Comuneros De Castilla 15,Bicipark Salamanca,Pl. del Marqués de Salamanca,6056.81
Oficina Joven TIVE - Moncloa,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 88,Bicipark Recuerdo,"Calle Hiedra, 26",6058.84
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,Bicipark Recuerdo,"Calle Hiedra, 26",6063.68
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,Bicipark Almagro,"Calle Almagro, 11",6063.93
Tanatorio Sur de Madrid,Instalaciones accesibles NO municipales,Calle Ildefonso Gonzalez Valencia 1,Bicipark Montalban,"Calle de Montalbán, 5",6064.92
Colegio Tajamar,Instalaciones accesibles NO municipales,Calle Pio Felipe 12,Bicipark Almagro,"Calle Almagro, 11",6065.24
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6068.01
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 7 Carabanchel,Instalaciones accesibles NO municipales,Avenida Pedro Diez 19,Bicipark Almagro,"Calle Almagro, 11",6070.82
Oficina de Empleo San Isidro,Instalaciones accesibles NO municipales,Calle Tejares 4,Bicipark Salamanca,Pl. del Marqués de Salamanca,6074.51
Estación ferroviaria Madrid - Chamartín - Clara Campoamor,Instalaciones accesibles NO municipales,Calle Agustin De Foxa,Bicipark Montalban,"Calle de Montalbán, 5",6079.53
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6080.62
Colegio Mayor Marqués de la Ensenada,Instalaciones accesibles NO municipales,Avenida Seneca 18,Bicipark Salamanca,Pl. del Marqués de Salamanca,6082.68
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6091.85
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,Bicipark Recoletos,"Paseo de Recoletos, 2",6092.02
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6101.0
Instituto de Educación Secundaria (IES) Conde de Orgaz,Instalaciones accesibles NO municipales,Calle Napoles 56,Bicipark Almagro,"Calle Almagro, 11",6103.22
Instituto de Educación Secundaria (IES) Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Diego De Valderrabano 35,Bicipark Orense,"Avenida General Perón, 27",6110.9
Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Instalaciones accesibles NO municipales,Calle Via Limite 14,Bicipark Montalban,"Calle de Montalbán, 5",6112.86
Oficina de Correos. Sucursal 82. Avenida Santuario de Valverde,Instalaciones accesibles NO municipales,Avenida Santuario De Valverde 45,Bicipark Orense,"Avenida General Perón, 27",6114.4
Oficina de Correos. Sucursal 92. Eroski Avenida Pablo Neruda,Instalaciones accesibles NO municipales,Avenida Pablo Neruda 91,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6118.22
Aparcamiento público. Plaza Ramón y Cajal (Ciudad Universitaria),Instalaciones accesibles NO municipales,Plaza Ramon Y Cajal 1,Bicipark Recuerdo,"Calle Hiedra, 26",6121.25
Instituto de Educación Secundaria (IES) Renacimiento,Instalaciones accesibles NO municipales,Calle Castellflorite 4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6130.77
Museo de América,Instalaciones accesibles NO municipales,Avenida Reyes Catolicos 6,Bicipark Recuerdo,"Calle Hiedra, 26",6137.71
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6139.39
Oficina de Empleo Moratalaz,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 350,Bicipark Salamanca,Pl. del Marqués de Salamanca,6139.66
Centro de día San Alfonso,Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 75 Planta Bajo,Bicipark Almagro,"Calle Almagro, 11",6142.7
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,Bicipark Orense,"Avenida General Perón, 27",6143.1
Oficina de Correos. Sucursal 21. Calle Antonio Arias,Instalaciones accesibles NO municipales,Calle Antonio Arias 2,Bicipark Recuerdo,"Calle Hiedra, 26",6144.36
Fuente de San Isidro,Instalaciones accesibles NO municipales,Paseo Ermita Del Santo 72,Bicipark Salamanca,Pl. del Marqués de Salamanca,6150.92
Centro de Día Privado 'Casa de las Flores',Instalaciones accesibles NO municipales,Calle Rodriguez San Pedro 72,Bicipark Recuerdo,"Calle Hiedra, 26",6153.96
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,Bicipark Almagro,"Calle Almagro, 11",6158.09
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6165.22
Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",6165.22
Centro de día Funprodami,Instalaciones accesibles NO municipales,Calle Garcia Miranda 4,Bicipark Almagro,"Calle Almagro, 11",6166.63
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,Bicipark Montalban,"Calle de Montalbán, 5",6166.66
Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,Bicipark Montalban,"Calle de Montalbán, 5",6170.09
Biblioteca de la Facultad de Derecho de la Universidad Complutense de Madrid,Instalaciones accesibles NO municipales,Plaza Menendez Pelayo 4,Bicipark Salamanca,Pl. del Marqués de Salamanca,6170.6
Biblioteca Pública Hortaleza,Instalaciones accesibles NO municipales,Calle Abertura 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,6172.42
